comparison,half_life,group
OS_vs_Ctrl,12.94634256,group_1
OS_vs_Ctrl,12.94634256,group_1
OS_vs_Ctrl,12.92425497,group_1
OS_vs_Ctrl,12.8730092,group_1
OS_vs_Ctrl,12.85844211,group_1
OS_vs_Ctrl,12.85844211,group_1
OS_vs_Ctrl,12.85844211,group_1
OS_vs_Ctrl,12.80038376,group_1
OS_vs_Ctrl,12.77879098,group_1
OS_vs_Ctrl,12.76091131,group_1
OS_vs_Ctrl,12.75738834,group_1
OS_vs_Ctrl,12.68594192,group_1
OS_vs_Ctrl,12.6437106,group_1
OS_vs_Ctrl,12.62954249,group_1
OS_vs_Ctrl,12.62954249,group_1
OS_vs_Ctrl,12.62597668,group_1
OS_vs_Ctrl,12.6155209,group_1
OS_vs_Ctrl,12.6155209,group_1
OS_vs_Ctrl,12.5979804,group_1
OS_vs_Ctrl,12.56668958,group_1
OS_vs_Ctrl,12.55974452,group_1
OS_vs_Ctrl,12.53204087,group_1
OS_vs_Ctrl,12.51123029,group_1
OS_vs_Ctrl,12.4633135,group_1
OS_vs_Ctrl,12.4633135,group_1
OS_vs_Ctrl,12.39533585,group_1
OS_vs_Ctrl,12.3818292,group_1
OS_vs_Ctrl,12.36835196,group_1
OS_vs_Ctrl,12.31790836,group_1
OS_vs_Ctrl,12.3012943,group_1
OS_vs_Ctrl,12.28788279,group_1
OS_vs_Ctrl,12.22180027,group_1
OS_vs_Ctrl,12.22180027,group_1
OS_vs_Ctrl,12.16944381,group_1
OS_vs_Ctrl,12.15642471,group_1
OS_vs_Ctrl,12.15642471,group_1
OS_vs_Ctrl,12.11753401,group_1
OS_vs_Ctrl,12.08520932,group_1
OS_vs_Ctrl,12.06921663,group_1
OS_vs_Ctrl,12.04677223,group_1
OS_vs_Ctrl,12.02764523,group_1
OS_vs_Ctrl,12.01503173,group_1
OS_vs_Ctrl,12.00234075,group_1
OS_vs_Ctrl,11.93291409,group_1
OS_vs_Ctrl,11.8767883,group_1
OS_vs_Ctrl,11.8519113,group_1
OS_vs_Ctrl,11.8272392,group_1
OS_vs_Ctrl,11.818064,group_1
OS_vs_Ctrl,11.81494163,group_1
OS_vs_Ctrl,11.8026696,group_1
OS_vs_Ctrl,11.79042305,group_1
OS_vs_Ctrl,11.77210079,group_1
OS_vs_Ctrl,11.76600602,group_1
OS_vs_Ctrl,11.76590616,group_1
OS_vs_Ctrl,11.7174741,group_1
OS_vs_Ctrl,11.71143575,group_1
OS_vs_Ctrl,11.6813371,group_1
OS_vs_Ctrl,11.6454223,group_1
OS_vs_Ctrl,11.63330448,group_1
OS_vs_Ctrl,11.60963044,group_1
OS_vs_Ctrl,11.59768398,group_1
OS_vs_Ctrl,11.56228095,group_1
OS_vs_Ctrl,11.52134538,group_1
OS_vs_Ctrl,11.49211938,group_1
OS_vs_Ctrl,11.49211938,group_1
OS_vs_Ctrl,11.44581616,group_1
OS_vs_Ctrl,11.44005447,group_1
OS_vs_Ctrl,11.43996007,group_1
OS_vs_Ctrl,11.3884592,group_1
OS_vs_Ctrl,11.374163,group_1
OS_vs_Ctrl,11.34298587,group_1
OS_vs_Ctrl,11.33167422,group_1
OS_vs_Ctrl,11.27526931,group_1
OS_vs_Ctrl,11.21960474,group_1
OS_vs_Ctrl,11.20853771,group_1
OS_vs_Ctrl,11.20853771,group_1
OS_vs_Ctrl,11.18646903,group_1
OS_vs_Ctrl,11.18646903,group_1
OS_vs_Ctrl,11.17546725,group_1
OS_vs_Ctrl,11.17546725,group_1
OS_vs_Ctrl,11.16448708,group_1
OS_vs_Ctrl,11.13167567,group_1
OS_vs_Ctrl,11.11534218,group_1
OS_vs_Ctrl,11.09905655,group_1
OS_vs_Ctrl,11.07741647,group_1
OS_vs_Ctrl,11.06115344,group_1
OS_vs_Ctrl,11.02368365,group_1
OS_vs_Ctrl,11.02368365,group_1
OS_vs_Ctrl,11.02368365,group_1
OS_vs_Ctrl,10.9916063,group_1
OS_vs_Ctrl,10.99151915,group_1
OS_vs_Ctrl,10.99151915,group_1
OS_vs_Ctrl,10.97038278,group_1
OS_vs_Ctrl,10.97029597,group_1
OS_vs_Ctrl,10.97029597,group_1
OS_vs_Ctrl,10.95971509,group_1
OS_vs_Ctrl,10.94915459,group_1
OS_vs_Ctrl,10.88621656,group_1
OS_vs_Ctrl,10.87588249,group_1
OS_vs_Ctrl,10.8653977,group_1
OS_vs_Ctrl,10.84465831,group_1
OS_vs_Ctrl,10.83431828,group_1
OS_vs_Ctrl,10.83423361,group_1
OS_vs_Ctrl,10.82399795,group_1
OS_vs_Ctrl,10.79315458,group_1
OS_vs_Ctrl,10.79315458,group_1
OS_vs_Ctrl,10.78794715,group_1
OS_vs_Ctrl,10.77268981,group_1
OS_vs_Ctrl,10.76750211,group_1
OS_vs_Ctrl,10.7624865,group_1
OS_vs_Ctrl,10.7624865,group_1
OS_vs_Ctrl,10.74213775,group_1
OS_vs_Ctrl,10.67135481,group_1
OS_vs_Ctrl,10.67135481,group_1
OS_vs_Ctrl,10.65134889,group_1
OS_vs_Ctrl,10.64137404,group_1
OS_vs_Ctrl,10.59185961,group_1
OS_vs_Ctrl,10.59177868,group_1
OS_vs_Ctrl,10.54264348,group_1
OS_vs_Ctrl,10.54264348,group_1
OS_vs_Ctrl,10.5231168,group_1
OS_vs_Ctrl,10.50843954,group_1
OS_vs_Ctrl,10.48911861,group_1
OS_vs_Ctrl,10.48427965,group_1
OS_vs_Ctrl,10.46251999,group_1
OS_vs_Ctrl,10.44564941,group_1
OS_vs_Ctrl,10.42655847,group_1
OS_vs_Ctrl,10.42655847,group_1
OS_vs_Ctrl,10.4216987,group_1
OS_vs_Ctrl,10.39310243,group_1
OS_vs_Ctrl,10.38827379,group_1
OS_vs_Ctrl,10.35042379,group_1
OS_vs_Ctrl,10.33160204,group_1
OS_vs_Ctrl,10.3222168,group_1
OS_vs_Ctrl,10.31284861,group_1
OS_vs_Ctrl,10.3034974,group_1
OS_vs_Ctrl,10.27554525,group_1
OS_vs_Ctrl,10.18794727,group_1
OS_vs_Ctrl,10.17433882,group_1
OS_vs_Ctrl,10.16978587,group_1
OS_vs_Ctrl,10.15600265,group_1
OS_vs_Ctrl,10.11982335,group_1
OS_vs_Ctrl,10.09969592,group_1
OS_vs_Ctrl,10.09285759,group_1
OS_vs_Ctrl,10.0393549,group_1
OS_vs_Ctrl,10.03499458,group_1
OS_vs_Ctrl,10.03492194,group_1
OS_vs_Ctrl,10.03049289,group_1
OS_vs_Ctrl,10.02164651,group_1
OS_vs_Ctrl,9.995200735,group_1
OS_vs_Ctrl,9.986416467,group_1
OS_vs_Ctrl,9.951433256,group_1
OS_vs_Ctrl,9.934033401,group_1
OS_vs_Ctrl,9.925356271,group_1
OS_vs_Ctrl,9.916694287,group_1
OS_vs_Ctrl,9.916694287,group_1
OS_vs_Ctrl,9.907976594,group_1
OS_vs_Ctrl,9.864897822,group_1
OS_vs_Ctrl,9.856340996,group_1
OS_vs_Ctrl,9.847799002,group_1
OS_vs_Ctrl,9.839271801,group_1
OS_vs_Ctrl,9.813778572,group_1
OS_vs_Ctrl,9.813778572,group_1
OS_vs_Ctrl,9.803160679,group_1
OS_vs_Ctrl,9.796856351,group_1
OS_vs_Ctrl,9.788417106,group_1
OS_vs_Ctrl,9.72974706,group_1
OS_vs_Ctrl,9.721422989,group_1
OS_vs_Ctrl,9.721422989,group_1
OS_vs_Ctrl,9.713113149,group_1
OS_vs_Ctrl,9.696536016,group_1
OS_vs_Ctrl,9.696536016,group_1
OS_vs_Ctrl,9.66348356,group_1
OS_vs_Ctrl,9.638824961,group_1
OS_vs_Ctrl,9.638824961,group_1
OS_vs_Ctrl,9.622567008,group_1
OS_vs_Ctrl,9.622500216,group_1
OS_vs_Ctrl,9.614358562,group_1
OS_vs_Ctrl,9.606230675,group_1
OS_vs_Ctrl,9.598116518,group_1
OS_vs_Ctrl,9.581929258,group_1
OS_vs_Ctrl,9.557816379,group_1
OS_vs_Ctrl,9.557750483,group_1
OS_vs_Ctrl,9.517722556,group_1
OS_vs_Ctrl,9.501805104,group_1
OS_vs_Ctrl,9.485940805,group_1
OS_vs_Ctrl,9.440528184,group_1
OS_vs_Ctrl,9.438664169,group_1
OS_vs_Ctrl,9.430702194,group_1
OS_vs_Ctrl,9.422881737,group_1
OS_vs_Ctrl,9.422881737,group_1
OS_vs_Ctrl,9.415074239,group_1
OS_vs_Ctrl,9.399497994,group_1
OS_vs_Ctrl,9.391792809,group_1
OS_vs_Ctrl,9.391729182,group_1
OS_vs_Ctrl,9.383973202,group_1
OS_vs_Ctrl,9.376230021,group_1
