ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q7TQ48,ctrl,20.77281169,1.317495284,Q63810,iso,1.375015112,1.317495284,0.138307471,Q8QZS1,CaNrf2-TG,32.2439029,1.508447605
Q3UIU2,ctrl,20.74452483,1.316903492,Q921M4,iso,1.39118577,1.316903492,0.143385127,P56480,CaNrf2-TG,32.15266632,1.507216993
Q9QYR9,ctrl,20.71631491,1.316312504,Q99J36,iso,1.404954973,1.316312504,0.147662406,Q9D023,CaNrf2-TG,32.10798502,1.506613052
P02468,ctrl,20.71600534,1.316306014,Q9CQI3,iso,1.404954973,1.316306014,0.147662406,Q8BYM8,CaNrf2-TG,32.06194461,1.50598986
Q921G7,ctrl,20.71600534,1.316306014,P28653,iso,1.411940855,1.316306014,0.149816505,Q07417,CaNrf2-TG,32.01751492,1.505387621
P03888,ctrl,20.69713886,1.315910314,Q5U430,iso,1.416166988,1.315910314,0.151114466,Q8BH95,CaNrf2-TG,31.7935546,1.502339086
Q61292,ctrl,20.69713886,1.315910314,Q60875,iso,1.424695606,1.315910314,0.153722085,Q8CAQ8,CaNrf2-TG,31.70412023,1.501115706
P43024,ctrl,20.5751868,1.313343787,Q9D1K2,iso,1.424695606,1.313343787,0.153722085,Q9DCX2,CaNrf2-TG,31.52818652,1.498698991
Q8BWT1,ctrl,20.55657583,1.312950775,P46935,iso,1.427559393,1.312950775,0.154594186,Q9CZ13,CaNrf2-TG,31.44094986,1.497495658
P52196,ctrl,20.4915503,1.311574817,Q9CWM4,iso,1.446470424,1.311574817,0.160309558,Q9D051,CaNrf2-TG,31.44094986,1.497495658
Q9CQ62,ctrl,20.4915503,1.311574817,Q8BJU0,iso,1.450904594,1.311574817,0.161638856,Q60932,CaNrf2-TG,31.44094986,1.497495658
Q3TBW2,ctrl,20.45466346,1.310792338,Q99MS7,iso,1.452389712,1.310792338,0.162083164,Q8BH59,CaNrf2-TG,31.39751231,1.496895239
O70423,ctrl,20.41790917,1.310011268,Q8BI84,iso,1.459856532,1.310011268,0.164310177,P50247,CaNrf2-TG,31.33293466,1.496001073
Q7TNS2,ctrl,20.30843458,1.307676448,Q62318,iso,1.463620352,1.307676448,0.16542844,P20108,CaNrf2-TG,31.18211258,1.493905535
Q9QYA2,ctrl,20.20012766,1.305354114,P62627,iso,1.467403629,1.305354114,0.166549589,Q8BGC4,CaNrf2-TG,31.07586553,1.492423233
P56213,ctrl,20.14611348,1.304191276,Q9CQW1,iso,1.468921177,1.304191276,0.166998492,Q921G7,CaNrf2-TG,31.05428555,1.492121542
