uniprot,group,half_life,log_10_HL
O88322,ctrl,13.51651532,1.130864741
P55292,ctrl,13.50032488,1.13034422
P50544,ctrl,13.46439745,1.129186923
Q64516,ctrl,13.4603447,1.129056182
Q8BW75,ctrl,13.42060061,1.127771952
Q9D6M3,ctrl,13.39686662,1.127003234
Q9CPQ3,ctrl,13.34181242,1.12521483
Q5M8N4,ctrl,13.32616566,1.124705208
Q8CGK3,ctrl,13.2639439,1.122672677
P19253,ctrl,13.0804699,1.116623346
P09411,ctrl,13.06542978,1.1161237
Q9CPX8,ctrl,13.06542978,1.1161237
Q9R0P3,ctrl,13.06542978,1.1161237
Q9CQR4,ctrl,13.03545305,1.11512613
Q8R086,ctrl,12.9611096,1.112642183
Q9DC70,ctrl,12.9611096,1.112642183
O88441,ctrl,12.94634256,1.112147094
Q2TPA8,ctrl,12.94634256,1.112147094
Q9D8T7,ctrl,12.94634256,1.112147094
Q99KB8,ctrl,12.92425497,1.111405517
Q64669,ctrl,12.8730092,1.10968008
Q91ZE0,ctrl,12.85844211,1.109188354
Q9D023,ctrl,12.85844211,1.109188354
Q9WTP7,ctrl,12.85844211,1.109188354
O88696,ctrl,12.80038376,1.10722299
P45376,ctrl,12.77879098,1.106489767
O09161,ctrl,12.76091131,1.10588169
Q91YY4,ctrl,12.75738834,1.105761776
Q91WK1,ctrl,12.68594192,1.103322719
P00397,ctrl,12.6437106,1.101874547
Q8BMD8,ctrl,12.62954249,1.101387618
Q9ESW4,ctrl,12.62954249,1.101387618
Q9CQA3,ctrl,12.62597668,1.101264983
Q8R4R6,ctrl,12.6155209,1.100905188
Q9D404,ctrl,12.6155209,1.100905188
Q924X2,ctrl,12.5979804,1.100300928
P40142,ctrl,12.56668958,1.099220887
Q9JIY5,ctrl,12.55974452,1.098980805
Q91YJ5,ctrl,12.53204087,1.098021803
Q91YT0,ctrl,12.51123029,1.097300018
Q8BFW7,ctrl,12.4633135,1.095633519
Q9CRB8,ctrl,12.4633135,1.095633519
Q9JJW5,ctrl,12.39533585,1.093258298
P35980,ctrl,12.3818292,1.092784809
Q8VDN2,ctrl,12.36835196,1.092311835
Q9CQN7,ctrl,12.31790836,1.090536969
Q8BG51,ctrl,12.3012943,1.089950809
Q9CQ40,ctrl,12.28788279,1.08947706
P56392,ctrl,12.22180027,1.087135182
Q01730,ctrl,12.22180027,1.087135182
Q9R0Q6,ctrl,12.16944381,1.08527073
Q3THF9,ctrl,12.15642471,1.084805865
Q922B1,ctrl,12.15642471,1.084805865
Q99KP3,ctrl,12.11753401,1.083414247
P48758,ctrl,12.08520932,1.082254177
Q9CQF0,ctrl,12.06921663,1.081679083
P11531,ctrl,12.04677223,1.080870699
O55137,ctrl,12.02764523,1.080180609
P58281,ctrl,12.01503173,1.079724922
Q9CXA2,ctrl,12.00234075,1.079265952
P14094,ctrl,11.93291409,1.076746514
Q5U458,ctrl,11.8767883,1.074699015
P62281,ctrl,11.8519113,1.073788393
Q9JI75,ctrl,11.8272392,1.07288338
A2ASS6,ctrl,11.818064,1.072546337
Q8VDG5,ctrl,11.81494163,1.07243158
P70404,ctrl,11.8026696,1.07198025
Q9CQ06,ctrl,11.79042305,1.071529388
Q9Z2Q5,ctrl,11.77210079,1.070853972
Q9CXJ1,ctrl,11.76600602,1.070629066
Q8BVI4,ctrl,11.76590616,1.07062538
Q8BWM0,ctrl,11.7174741,1.068834002
Q921S7,ctrl,11.71143575,1.06861014
Q9CQ60,ctrl,11.6813371,1.067492557
Q8K157,ctrl,11.6454223,1.066155242
Q99JY0,ctrl,11.63330448,1.065703095
Q499X9,ctrl,11.60963044,1.064818395
P07310,ctrl,11.59768398,1.064371271
Q60994,ctrl,11.56228095,1.063043518
P62267,ctrl,11.52134538,1.061503196
Q3U5Q7,ctrl,11.49211938,1.060400129
Q8K411,ctrl,11.49211938,1.060400129
Q9JI91,ctrl,11.44581616,1.058646766
P14152,ctrl,11.44005447,1.058428092
Q9CPW3,ctrl,11.43996007,1.058424509
Q9DBJ1,ctrl,11.3884592,1.05646497
P17751,ctrl,11.374163,1.055919448
Q9DAM5,ctrl,11.34298587,1.054727391
Q91YM4,ctrl,11.33167422,1.05429408
Q3UNZ8,ctrl,11.27526931,1.052126924
P70296,ctrl,11.21960474,1.049977557
P56380,ctrl,11.20853771,1.049548957
Q8VDC0,ctrl,11.20853771,1.049548957
Q9JKB1,ctrl,11.18646903,1.048693025
Q9R0Y5,ctrl,11.18646903,1.048693025
Q9CQS8,ctrl,11.17546725,1.04826569
Q9JLJ2,ctrl,11.17546725,1.04826569
P41105,ctrl,11.16448708,1.047838776
Q8BGC4,ctrl,11.13167567,1.046560544
Q9D0F9,ctrl,11.11534218,1.045922837
Q9D1P0,ctrl,11.09905655,1.045286064
Q3TJD7,ctrl,11.07741647,1.044438484
P58389,ctrl,11.06115344,1.043800417
O70250,ctrl,11.02368365,1.042326742
P21300,ctrl,11.02368365,1.042326742
Q9DCU6,ctrl,11.02368365,1.042326742
Q05920,ctrl,10.9916063,1.041061164
P11352,ctrl,10.99151915,1.041057721
P52503,ctrl,10.99151915,1.041057721
P62245,ctrl,10.97038278,1.040221781
Q9DAK9,ctrl,10.97029597,1.040218345
Q9Z1Q9,ctrl,10.97029597,1.040218345
Q80UM3,ctrl,10.95971509,1.039799264
P51667,ctrl,10.94915459,1.039380588
Q80UW5,ctrl,10.88621656,1.036876969
Q9CR24,ctrl,10.87588249,1.036464506
O55023,ctrl,10.8653977,1.036045627
Q60866,ctrl,10.84465831,1.035215873
P19157,ctrl,10.83431828,1.03480159
Q9CPY7,ctrl,10.83423361,1.034798196
P23506,ctrl,10.82399795,1.034387701
P56376,ctrl,10.79315458,1.033148397
Q8BFP9,ctrl,10.79315458,1.033148397
Q99LX0,ctrl,10.78794715,1.03293881
Q8VE38,ctrl,10.77268981,1.032324155
P24527,ctrl,10.76750211,1.032114965
P70349,ctrl,10.7624865,1.03191262
Q8JZQ2,ctrl,10.7624865,1.03191262
Q8R574,ctrl,10.74213775,1.031090717
Q8BH64,ctrl,10.67135481,1.02821956
Q9WVH9,ctrl,10.67135481,1.02821956
Q9DBP5,ctrl,10.65134889,1.027404611
Q8R2Z5,ctrl,10.64137404,1.026997709
Q9D7J4,ctrl,10.59185961,1.024972216
P62892,ctrl,10.59177868,1.024968898
Q91VS7,ctrl,10.54264348,1.02294952
Q9D0K2,ctrl,10.54264348,1.02294952
Q9EQI8,ctrl,10.5231168,1.022144391
Q9QY76,ctrl,10.50843954,1.02153823
Q80W21,ctrl,10.48911861,1.020738996
Q99NB1,ctrl,10.48427965,1.020538597
Q64105,ctrl,10.46251999,1.019636301
O54724,ctrl,10.44564941,1.018935445
P05201,ctrl,10.42655847,1.018140983
Q9D8N0,ctrl,10.42655847,1.018140983
O55111,ctrl,10.4216987,1.017938513
P43023,ctrl,10.39310243,1.016745208
Q8BFZ9,ctrl,10.38827379,1.016543387
Q8CC88,ctrl,10.35042379,1.014958132
Q9WVK4,ctrl,10.33160204,1.014167669
Q9DCA2,ctrl,10.3222168,1.013772977
P62849,ctrl,10.31284861,1.013378642
P60867,ctrl,10.3034974,1.012984666
Q8BJZ4,ctrl,10.27554525,1.011804876
Q9Z2D6,ctrl,10.18794727,1.008086689
O70622,ctrl,10.17433882,1.007506196
P27659,ctrl,10.16978587,1.007311809
O09131,ctrl,10.15600265,1.006722805
P06745,ctrl,10.11982335,1.005172932
Q91Z53,ctrl,10.09969592,1.004308298
Q9D338,ctrl,10.09285759,1.004014145
Q9WTI7,ctrl,10.0393549,1.001705807
