ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
P42208,ctrl,3.971917006,0.599000165,Q8BYL4,iso,7.445909707,0.871917765
Q61187,ctrl,3.971917006,0.599000165,P54797,iso,7.455720815,0.872489637
Q91YP2,ctrl,3.971917006,0.599000165,P34914,iso,7.460575844,0.87277235
Q9CZN8,ctrl,3.952574505,0.596880065,Q64520,iso,7.485148219,0.874200405
Q8C8R3,ctrl,3.949815404,0.596576799,Q6ZWN5,iso,7.500010069,0.875061846
Q8JZN7,ctrl,3.922534679,0.593566792,P62932,iso,7.514931053,0.875925
Q9QXT0,ctrl,3.921181086,0.593416899,Q60854,iso,7.514931053,0.875925
P14142,ctrl,3.917125907,0.592967531,P28474,iso,7.519904319,0.876212315
Q922R8,ctrl,3.917125907,0.592967531,Q80XN0,iso,7.524884171,0.876499819
P09470,ctrl,3.91173203,0.592369096,Q9DC61,iso,7.554902347,0.878228855
P27546,ctrl,3.906352988,0.591771485,Q9EQI8,iso,7.554902347,0.878228855
Q8VCT4,ctrl,3.906352988,0.591771485,Q8K0Z7,iso,7.56244435,0.878662192
Q99PU8,ctrl,3.906352988,0.591771485,Q64442,iso,7.575047873,0.879385382
Q9EQH2,ctrl,3.900966765,0.59117225,Q91YY4,iso,7.585160979,0.879964802
Q9DB70,ctrl,3.884962171,0.589386794,Q9CQ65,iso,7.585160979,0.879964802
P70372,ctrl,3.88363438,0.589238337,Q6NVE9,iso,7.610604059,0.881419128
P28798,ctrl,3.879656449,0.58879327,P25444,iso,7.631048144,0.882584194
P70336,ctrl,3.8743652,0.588200555,Q3TC93,iso,7.646453434,0.883460048
Q6ZWQ0,ctrl,3.8743652,0.588200555,P61089,iso,7.64649561,0.883462444
P30416,ctrl,3.86644455,0.587311786,Q9JLH8,iso,7.64649561,0.883462444
Q8CDN6,ctrl,3.86644455,0.587311786,O08532,iso,7.651644595,0.88375479
P29595,ctrl,3.863804345,0.587015127,P14869,iso,7.661963396,0.884340073
P62869,ctrl,3.863804345,0.587015127,Q02013,iso,7.66713324,0.884633011
Q80WJ7,ctrl,3.853322329,0.585835339,P61971,iso,7.677493887,0.885219479
P67871,ctrl,3.84810262,0.585246645,Q99LD8,iso,7.708744515,0.886983652
P62814,ctrl,3.845498064,0.584952597,Q80Y14,iso,7.713977704,0.887278379
Q4VAA2,ctrl,3.842897032,0.584658748,Q8BG51,iso,7.719218003,0.887573306
Q9JIF7,ctrl,3.840299516,0.584365098,Q99N96,iso,7.74025059,0.888755021
O35841,ctrl,3.837705509,0.584071646,P26883,iso,7.753497624,0.889497658
P40124,ctrl,3.837705509,0.584071646,Q8VDN2,iso,7.766746565,0.890239134
Q8VBT9,ctrl,3.827353864,0.582898617,O70493,iso,7.772015255,0.890533644
Q9DCT1,ctrl,3.826065154,0.582752361,Q8R3V5,iso,7.772015255,0.890533644
P60766,ctrl,3.824766758,0.582604956,P60867,iso,7.801406663,0.892172917
Q8BGQ7,ctrl,3.811935923,0.581145592,Q922D8,iso,7.804129575,0.892324472
Q8R1B4,ctrl,3.811935923,0.581145592,Q9DBG3,iso,7.814819982,0.892918978
Q9D1G1,ctrl,3.80938008,0.580854306,P14148,iso,7.825583893,0.893516752
Q9Z2G9,ctrl,3.806827661,0.580563216,Q02257,iso,7.837750948,0.894191459
Q3TEA8,ctrl,3.781469717,0.577660627,P97443,iso,7.847245336,0.894717231
P68510,ctrl,3.780222023,0.577517308,Q9R062,iso,7.847245336,0.894717231
Q3TZZ7,ctrl,3.780211715,0.577516124,P36552,iso,7.868982365,0.895918572
P56695,ctrl,3.778954551,0.577371669,P51855,iso,7.890840151,0.897123246
Q8QZY1,ctrl,3.776442728,0.577082903,Q9D9V3,iso,7.890840151,0.897123246
Q9CR16,ctrl,3.766428741,0.575929755,P21550,iso,7.899113169,0.897578336
Q8BFY9,ctrl,3.761441637,0.575354328,P04117,iso,7.901814644,0.897726838
Q9CPT4,ctrl,3.761441637,0.575354328,Q64735,iso,7.901814644,0.897726838
O70400,ctrl,3.75148664,0.574203404,Q8BLF1,iso,7.901859684,0.897729314
Q923B6,ctrl,3.746539001,0.573630258,Q9CQF4,iso,7.912819705,0.89833127
Q01853,ctrl,3.744070072,0.573343968,Q60597,iso,7.934922048,0.899542665
Q63850,ctrl,3.741604395,0.573057867,Q9WUM3,iso,7.934922048,0.899542665
B2RXS4,ctrl,3.73668277,0.57248623,Q8BFZ9,iso,7.946065132,0.900152121
Q60749,ctrl,3.735454387,0.572343438,Q9D898,iso,7.9488444,0.900303996
P63330,ctrl,3.728090986,0.571486503,Q7TQ95,iso,7.951625614,0.900455924
Q60605,ctrl,3.721995278,0.570775818,Q8BKY8,iso,7.996437329,0.902896538
Q8VE62,ctrl,3.717105138,0.570204845,Q9ET78,iso,8.002068558,0.903202268
Q61239,ctrl,3.712247712,0.569636948,Q9D1P0,iso,8.007661469,0.903505705
Q9D1D4,ctrl,3.707402965,0.569069793,Q8BGB7,iso,8.007707724,0.903508213
Q9WV02,ctrl,3.707402965,0.569069793,Q9CRB8,iso,8.01618139,0.903967536
Q3KNM2,ctrl,3.702570847,0.568503377,Q9D338,iso,8.036023194,0.905041182
