ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q9DCS3,ctrl,19.64090506,1.293161496,Q8VHY0,iso,1.597890174,0.203546926
Q8R164,ctrl,19.624223,1.29279247,Q7M6Y3,iso,1.599689778,0.20403577
Q8R1I1,ctrl,19.55667355,1.291294986,Q80WJ7,iso,1.599689778,0.20403577
Q9Z1P6,ctrl,19.53958337,1.290915299,Q8VH51,iso,1.599689778,0.20403577
P54071,ctrl,19.50604138,1.290169141,Q7TPW1,iso,1.610580593,0.206982462
Q9DCS9,ctrl,19.44775558,1.288869488,Q8K182,iso,1.612408913,0.20747519
Q8K370,ctrl,19.17684827,1.282777232,Q9JHJ0,iso,1.6160818,0.208463339
Q9CR62,ctrl,19.16041521,1.282404916,P26262,iso,1.6234723,0.210444883
Q9CR61,ctrl,19.15247383,1.282224878,Q8C0L9,iso,1.625331928,0.210942067
Q99LB2,ctrl,19.14453904,1.282044914,P42925,iso,1.634692412,0.213436047
P82347,ctrl,19.1123385,1.281313829,Q9Z0J0,iso,1.642256452,0.215440977
P67778,ctrl,19.0482613,1.27985534,P97447,iso,1.646062828,0.216446408
Q03265,ctrl,18.93689535,1.277308779,Q91YN5,iso,1.655664324,0.218972291
P55772,ctrl,18.92913814,1.277130841,Q6P5H2,iso,1.657596495,0.21947882
Q91VM9,ctrl,18.88993243,1.276230404,Q8CI32,iso,1.662448702,0.220748253
Q9DCW4,ctrl,18.87398722,1.275863657,Q9DB05,iso,1.667329401,0.222021408
Q8BMS1,ctrl,18.79619222,1.274069878,Q501J2,iso,1.667331406,0.222021931
Q9CXJ4,ctrl,18.79619222,1.274069878,Q9EPU0,iso,1.668310588,0.222276906
Q91WS0,ctrl,18.75728092,1.273169883,Q9JJ28,iso,1.66929092,0.222532031
P02469,ctrl,18.7185304,1.272271749,Q9D7S9,iso,1.669781518,0.22265965
P00848,ctrl,18.70287312,1.271908328,Q8BYK6,iso,1.673225817,0.223554557
P03930,ctrl,18.68774583,1.271556919,Q6P6L0,iso,1.685144655,0.226637187
Q8R127,ctrl,18.68774583,1.271556919,Q00PI9,iso,1.688652691,0.227540337
Q8VE95,ctrl,18.67239149,1.271199944,P61750,iso,1.68915268,0.227668907
Q99MN9,ctrl,18.65706235,1.270843263,Q69ZN7,iso,1.693183953,0.228704144
P35486,ctrl,18.64175837,1.270486874,Q61702,iso,1.696216944,0.229481397
Q60931,ctrl,18.64175837,1.270486874,Q3UW53,iso,1.699264986,0.230261109
Q8K4F5,ctrl,18.61097574,1.269769143,Q925F2,iso,1.705389857,0.231823676
P54731,ctrl,18.58054364,1.269058417,P28352,iso,1.713105142,0.233784019
P63038,ctrl,18.51997704,1.267640444,P28665,iso,1.713621836,0.233914988
Q9WUR2,ctrl,18.41493021,1.265170077,Q8VBT1,iso,1.713623954,0.233915524
P19783,ctrl,18.40735024,1.264991276,O70362,iso,1.717768764,0.234964701
Q9CR21,ctrl,18.31106833,1.262713683,O89103,iso,1.72350501,0.23641255
Q8CG76,ctrl,18.28160835,1.262014401,Q9Z0P5,iso,1.730333014,0.238129694
Q60930,ctrl,18.25224301,1.261316242,Q7TMW6,iso,1.732443503,0.238659081
Q8BIJ6,ctrl,18.10682011,1.257842187,Q9ER00,iso,1.740410455,0.240651684
Q91ZA3,ctrl,18.04929773,1.256460309,P19096,iso,1.740941568,0.240784195
Q99KI0,ctrl,17.97767353,1.254733489,Q64378,iso,1.740941568,0.240784195
P15331,ctrl,17.89274841,1.252677055,Q3U1J4,iso,1.743082414,0.241317921
Q8BK30,ctrl,17.86461806,1.251993735,Q8K1E0,iso,1.75276623,0.243723997
Q9CXS4,ctrl,17.85035617,1.251646886,P51150,iso,1.766945708,0.247223205
Q9DC69,ctrl,17.81548772,1.250797716,Q9WTX5,iso,1.76914877,0.247764355
Q71LX4,ctrl,17.78782782,1.250122917,P16110,iso,1.771355069,0.248305624
Q8CAK1,ctrl,17.76685456,1.249610547,Q9D024,iso,1.771355069,0.248305624
Q9CQZ5,ctrl,17.76662687,1.249604981,Q00897,iso,1.776899522,0.24966287
P97450,ctrl,17.75979863,1.249438037,Q60960,iso,1.779125207,0.250206513
P00405,ctrl,17.73911837,1.248932032,Q921U8,iso,1.782478792,0.251024371
Q9JHW2,ctrl,17.72505608,1.248587618,Q9ET01,iso,1.782478792,0.251024371
Q71RI9,ctrl,17.69767606,1.247916241,P06683,iso,1.784718485,0.251569722
P08228,ctrl,17.64271993,1.24656554,Q9CQP0,iso,1.786963813,0.252115758
Q99JR6,ctrl,17.58788091,1.245213516,P51125,iso,1.789217108,0.252663042
Q3UN90,ctrl,17.56092272,1.244547332,Q8BY87,iso,1.800564682,0.255408727
P35505,ctrl,17.54048082,1.244041494,Q02819,iso,1.805143647,0.256511767
P59017,ctrl,17.49973947,1.243031583,Q921I1,iso,1.805143647,0.256511767
Q9CZL5,ctrl,17.49311479,1.242867146,A3KFX0,iso,1.805145997,0.256512333
Q8QZT1,ctrl,17.40613682,1.240702393,Q9D8B3,iso,1.805145997,0.256512333
Q5IRJ6,ctrl,17.39914606,1.240527934,Q58A65,iso,1.820189256,0.260116546
P48678,ctrl,17.37254519,1.23986345,Q3THG9,iso,1.82369719,0.260952729
Q8BFR5,ctrl,17.33301277,1.238874057,Q924C5,iso,1.828394719,0.262069958
Q91VD9,ctrl,17.33301277,1.238874057,Q8BGQ7,iso,1.842633637,0.265438995
Q0II04,ctrl,17.28029469,1.237551144,O70373,iso,1.85709856,0.268834953
Q9CZS1,ctrl,17.28029469,1.237551144,Q8WTY4,iso,1.85709856,0.268834953
Q9Z2I9,ctrl,17.24075168,1.236556197,Q91WK2,iso,1.860747847,0.269687525
Q9DCT2,ctrl,17.22768223,1.236226852,Q00623,iso,1.861969966,0.269972672
O55126,ctrl,17.20181612,1.235574301,P17047,iso,1.866866997,0.271113378
Q9DCZ4,ctrl,17.20160267,1.235568912,Q61838,iso,1.871787327,0.272256503
P52430,ctrl,17.09785843,1.232941717,Q8VHE0,iso,1.886715446,0.275706405
Q8BH86,ctrl,17.07217016,1.232288731,Q9WTQ5,iso,1.890484755,0.276573179
Q91V12,ctrl,17.0210245,1.230985697,Q9ERB0,iso,1.914707746,0.282102494
Q8K3J1,ctrl,16.99556641,1.230335643,Q3UHZ5,iso,1.917297601,0.282689529
Q9CQX8,ctrl,16.94487803,1.229038447,Q9CZU4,iso,1.919889154,0.283276155
Q99J39,ctrl,16.91964705,1.228391299,P26231,iso,1.922487722,0.283863575
Q91WK5,ctrl,16.86940983,1.227099889,Q8CGY6,iso,1.925096007,0.284452393
P47791,ctrl,16.82559425,1.225970412,Q9D832,iso,1.930331179,0.285631826
Q9CPP6,ctrl,16.78850923,1.225012134,Q9EQW7,iso,1.9382389,0.287407305
P53395,ctrl,16.65898819,1.22164862,Q3B7Z2,iso,1.948882036,0.289785553
Q8K2C6,ctrl,16.65898819,1.22164862,P19324,iso,1.958291818,0.291877409
Q9D0L4,ctrl,16.64698546,1.2213356,Q60715,iso,1.965070508,0.293378138
Q924D0,ctrl,16.58623803,1.219747894,Q9Z1X4,iso,1.967792908,0.293979391
O35855,ctrl,16.45414187,1.216275238,Q5SVR0,iso,1.9732604,0.2951844
Q7TMF3,ctrl,16.43035012,1.215646818,Q8CFY5,iso,1.978764008,0.296394002
Q91WD5,ctrl,16.43035012,1.215646818,Q8VD62,iso,1.992649692,0.299430956
Q9D7J9,ctrl,16.38277882,1.214387568,Q9Z1F9,iso,1.992649692,0.299430956
Q91YP0,ctrl,16.38258522,1.214382436,O89020,iso,1.992652556,0.299431581
Q99LC3,ctrl,16.38258522,1.214382436,Q3THE2,iso,1.998262142,0.300652461
Q9D6U8,ctrl,16.32394095,1.212825015,Q99M04,iso,2.012426726,0.303720076
P63030,ctrl,16.31203211,1.212508068,Q8BK63,iso,2.015284945,0.304336461
Q9D6J6,ctrl,16.30627601,1.212354789,P99026,iso,2.021019919,0.305570594
P42669,ctrl,16.20733455,1.209711597,Q9D1H7,iso,2.021019919,0.305570594
Q9Z2I0,ctrl,16.1957844,1.209401987,Q61081,iso,2.031867398,0.307895362
Q9D172,ctrl,16.17273339,1.208783427,Q6ZWR6,iso,2.042834961,0.310233282
P52825,ctrl,16.05845567,1.205703777,Q9JHS4,iso,2.056892854,0.313211669
Q5SWT3,ctrl,16.03579365,1.205090459,Q9DBR7,iso,2.062121781,0.314314309
Q923D2,ctrl,15.96818975,1.203255685,Q01279,iso,2.065119935,0.314945279
Q9D8B4,ctrl,15.9457816,1.202645812,P35293,iso,2.06813299,0.315578462
Q3TC72,ctrl,15.84553723,1.199906968,Q6PD31,iso,2.06813299,0.315578462
P99029,ctrl,15.83467768,1.199609227,Q8BT60,iso,2.071148662,0.316211273
Q3ULD5,ctrl,15.81264242,1.19900445,P18826,iso,2.074173142,0.316845006
Q9D7X8,ctrl,15.79066841,1.198400514,P63005,iso,2.076450415,0.317321565
Q9EQ20,ctrl,15.77952468,1.198093917,A6H8H2,iso,2.080254921,0.318116558
Q9DCM2,ctrl,15.72475455,1.196583875,Q8BX02,iso,2.08177938,0.318434703
Q8R4N0,ctrl,15.64913599,1.194490365,P22892,iso,2.083306074,0.31875308
Q791V5,ctrl,15.53131777,1.191208305,Q5SW19,iso,2.086366191,0.319390536
P00416,ctrl,15.44686517,1.188840356,Q920E5,iso,2.086366191,0.319390536
Q9WUR9,ctrl,15.44686517,1.188840356,Q9CX34,iso,2.098709796,0.32195239
P45377,ctrl,15.43637312,1.188545268,Q8K157,iso,2.108054161,0.323881765
Q8BMS4,ctrl,15.36332603,1.186485247,Q9CU62,iso,2.108054161,0.323881765
Q64433,ctrl,15.3373202,1.185749485,Q8BHG1,iso,2.117488576,0.325821076
Q9CZ42,ctrl,15.30109338,1.184722466,Q61655,iso,2.118281288,0.32598363
Q9QZQ8,ctrl,15.29079836,1.184430161,P61082,iso,2.119071355,0.326145581
Q9WTR5,ctrl,15.24472553,1.18311961,Q8BVE3,iso,2.123827411,0.327119222
Q99MR8,ctrl,15.23969792,1.182976359,Q9QXZ0,iso,2.123827411,0.327119222
Q9D1R9,ctrl,15.19892952,1.181813001,Q921N7,iso,2.127007818,0.327769086
Q9WVL0,ctrl,15.19892952,1.181813001,A2A8U2,iso,2.136613033,0.329725873
P41216,ctrl,15.08776867,1.178625017,P13020,iso,2.136613033,0.329725873
Q9ES82,ctrl,15.05761477,1.177756182,P60335,iso,2.139831877,0.330379653
Q9D1I5,ctrl,15.01781347,1.176606706,P10605,iso,2.141448246,0.330707583
P26443,ctrl,15.007896,1.176319811,P46938,iso,2.143060434,0.331034418
Q8K2Y7,ctrl,14.99799162,1.176033107,Q70KF4,iso,2.147928233,0.332019767
P97478,ctrl,14.93883878,1.17431684,Q05512,iso,2.161006574,0.334656088
P56501,ctrl,14.84128084,1.171471383,Q11136,iso,2.165127547,0.335483486
P10493,ctrl,14.84112196,1.171466734,Q6WVG3,iso,2.165949567,0.33564834
P11404,ctrl,14.82192196,1.170904522,Q9CY58,iso,2.165949567,0.33564834
Q9CXZ1,ctrl,14.82192196,1.170904522,Q9DC77,iso,2.16760565,0.335980274
O35658,ctrl,14.80735683,1.170477542,Q811U4,iso,2.167609039,0.335980953
Q8K2B3,ctrl,14.78335531,1.169773015,Q9EPL8,iso,2.169264267,0.336312462
Q60759,ctrl,14.77374499,1.169490598,P30999,iso,2.175080938,0.337475422
Q8CC86,ctrl,14.76414715,1.169208365,Q06138,iso,2.179255817,0.338308214
P50247,ctrl,14.72588019,1.168081263,Q60631,iso,2.184282745,0.339308855
P17095,ctrl,14.7161882,1.167795333,Q6IRU2,iso,2.18638415,0.33972647
Q99N92,ctrl,14.66885024,1.166396075,P05125,iso,2.189332918,0.340311807
Q9JHI5,ctrl,14.66885024,1.166396075,Q8K310,iso,2.189336376,0.340312493
Q3V384,ctrl,14.6499383,1.165835796,P01029,iso,2.207207983,0.343843258
Q5F285,ctrl,14.6499383,1.165835796,O89079,iso,2.213226667,0.345025894
P16546,ctrl,14.64978348,1.165831206,Q8BMG7,iso,2.213226667,0.345025894
Q6P3A8,ctrl,14.62150742,1.164992149,Q9JLI6,iso,2.213226667,0.345025894
Q62425,ctrl,14.61195229,1.164708245,P39447,iso,2.221889072,0.346722373
Q78IK2,ctrl,14.59334029,1.16415471,Q9CQF3,iso,2.227122002,0.347744008
Q9D1N9,ctrl,14.59318667,1.164150138,Q8C0E2,iso,2.230619551,0.348425504
Q8BL65,ctrl,14.53717792,1.162480106,Q6NZJ6,iso,2.233249931,0.348937329
Q6P8J7,ctrl,14.48159745,1.160816471,P13597,iso,2.234128103,0.349108072
Q99JB2,ctrl,14.45396629,1.159987038,Q9ERR7,iso,2.234128103,0.349108072
Q8K1Z0,ctrl,14.3354397,1.156411018,O35678,iso,2.23853296,0.349963493
P45952,ctrl,14.31737716,1.155863466,P10107,iso,2.24295522,0.350820603
P97823,ctrl,14.28138829,1.154770427,P50543,iso,2.244727567,0.35116364
Q8C5H8,ctrl,14.24557989,1.153680133,P61211,iso,2.244727567,0.35116364
Q9CZR8,ctrl,14.21884121,1.152864204,Q9JIK5,iso,2.248280676,0.351850528
Q9ESD7,ctrl,14.2099506,1.152592568,Q9JMC3,iso,2.248284322,0.351851232
P10639,ctrl,14.19220271,1.152049806,Q99J09,iso,2.248729253,0.35193717
Q80XN0,ctrl,14.12165228,1.149885514,Q8VDD5,iso,2.251845051,0.352538503
P85094,ctrl,14.08649631,1.148802986,A2ADF7,iso,2.259015176,0.353919149
Q60870,ctrl,13.96516865,1.145046185,O88667,iso,2.259015176,0.353919149
P17710,ctrl,13.90549442,1.143186435,Q4VA53,iso,2.266231108,0.355304197
Q3TLP5,ctrl,13.82920036,1.140797069,Q80U63,iso,2.266231108,0.355304197
P04247,ctrl,13.81239026,1.140268841,Q9D1E6,iso,2.266231108,0.355304197
Q64727,ctrl,13.70397747,1.136846636,Q5XJY5,iso,2.271667799,0.356344822
P08032,ctrl,13.67113755,1.135804653,Q64462,iso,2.284462954,0.35878412
O09174,ctrl,13.66291848,1.135543477,Q8R2Y2,iso,2.284462954,0.35878412
P07356,ctrl,13.6545748,1.135278181,Q61699,iso,2.288143071,0.359483176
Q9CPX7,ctrl,13.63014081,1.134500342,Q9JHR7,iso,2.295546594,0.360886112
P30275,ctrl,13.59725328,1.133451187,O70572,iso,2.306738308,0.362998328
Q9DC07,ctrl,13.57701174,1.132804194,Q9EQP2,iso,2.318035808,0.365120141
Q9D0S9,ctrl,13.55683038,1.132158162,Q8C5Q4,iso,2.318039684,0.365120867
P82350,ctrl,13.54861573,1.131894925,P01872,iso,2.323728106,0.366185311
O88322,ctrl,13.51651532,1.130864741,Q9WUA3,iso,2.331360161,0.367609371
P55292,ctrl,13.50032488,1.13034422,Q3UH68,iso,2.332317204,0.367787616
P50544,ctrl,13.46439745,1.129186923,Q8R3K3,iso,2.33327896,0.367966665
Q64516,ctrl,13.4603447,1.129056182,Q9JM76,iso,2.33327896,0.367966665
Q8BW75,ctrl,13.42060061,1.127771952,Q922D4,iso,2.335196986,0.368323521
Q9D6M3,ctrl,13.39686662,1.127003234,P61290,iso,2.336153245,0.368501328
Q9CPQ3,ctrl,13.34181242,1.12521483,Q61830,iso,2.337118168,0.368680672
Q5M8N4,ctrl,13.32616566,1.124705208,Q9Z204,iso,2.338079945,0.368859357
Q8CGK3,ctrl,13.2639439,1.122672677,Q8CI95,iso,2.340970032,0.369395854
P19253,ctrl,13.0804699,1.116623346,P18760,iso,2.344842545,0.370113685
P09411,ctrl,13.06542978,1.1161237,P97467,iso,2.346775665,0.370471576
Q9CPX8,ctrl,13.06542978,1.1161237,Q61749,iso,2.348719933,0.370831234
Q9R0P3,ctrl,13.06542978,1.1161237,Q80X19,iso,2.348719933,0.370831234
Q9CQR4,ctrl,13.03545305,1.11512613,Q9D379,iso,2.348719933,0.370831234
Q8R086,ctrl,12.9611096,1.112642183,Q6PDM2,iso,2.352610166,0.371549969
Q9DC70,ctrl,12.9611096,1.112642183,Q8BGT5,iso,2.356513307,0.372269896
O88441,ctrl,12.94634256,1.112147094,P46735,iso,2.35847375,0.372631047
Q2TPA8,ctrl,12.94634256,1.112147094,Q61166,iso,2.360437458,0.372992498
Q9D8T7,ctrl,12.94634256,1.112147094,P28654,iso,2.362400414,0.37335351
Q99KB8,ctrl,12.92425497,1.111405517,P55937,iso,2.366336135,0.374076436
Q64669,ctrl,12.8730092,1.10968008,P05977,iso,2.367322115,0.374257355
Q91ZE0,ctrl,12.85844211,1.109188354,Q8CGB6,iso,2.372272485,0.375164572
Q9D023,ctrl,12.85844211,1.109188354,Q99PV0,iso,2.380223208,0.376617685
Q9WTP7,ctrl,12.85844211,1.109188354,O35887,iso,2.384218588,0.37734607
O88696,ctrl,12.80038376,1.10722299,Q3TCH7,iso,2.384218588,0.37734607
P45376,ctrl,12.77879098,1.106489767,Q9JIF0,iso,2.384218588,0.37734607
O09161,ctrl,12.76091131,1.10588169,Q61233,iso,2.386221312,0.37771072
Q91YY4,ctrl,12.75738834,1.105761776,Q9CQU3,iso,2.39225798,0.378808012
Q91WK1,ctrl,12.68594192,1.103322719,Q9CQR6,iso,2.394274238,0.379173893
P00397,ctrl,12.6437106,1.101874547,P42208,iso,2.396293899,0.379540082
Q8BMD8,ctrl,12.62954249,1.101387618,Q9JKF1,iso,2.396293899,0.379540082
Q9ESW4,ctrl,12.62954249,1.101387618,P97379,iso,2.400343459,0.380273388
Q9CQA3,ctrl,12.62597668,1.101264983,Q5EBG8,iso,2.400343459,0.380273388
Q8R4R6,ctrl,12.6155209,1.100905188,Q8CIE6,iso,2.400343459,0.380273388
Q9D404,ctrl,12.6155209,1.100905188,O70252,iso,2.424948155,0.384702458
Q924X2,ctrl,12.5979804,1.100300928,P60670,iso,2.424952397,0.384703218
P40142,ctrl,12.56668958,1.099220887,Q9JI78,iso,2.437440635,0.386934047
Q9JIY5,ctrl,12.55974452,1.098980805,P56394,iso,2.445839271,0.388427914
Q91YJ5,ctrl,12.53204087,1.098021803,Q62351,iso,2.445843586,0.38842868
Q91YT0,ctrl,12.51123029,1.097300018,Q9QZE5,iso,2.445843586,0.38842868
Q8BFW7,ctrl,12.4633135,1.095633519,Q9Z0Y1,iso,2.446370155,0.38852217
Q9CRB8,ctrl,12.4633135,1.095633519,P80315,iso,2.446892632,0.388614913
Q9JJW5,ctrl,12.39533585,1.093258298,Q9JIF7,iso,2.455360993,0.390115352
P35980,ctrl,12.3818292,1.092784809,P23116,iso,2.45641822,0.39030231
Q8VDN2,ctrl,12.36835196,1.092311835,Q6NVE8,iso,2.467093472,0.392185604
Q9CQN7,ctrl,12.31790836,1.090536969,Q9WVE8,iso,2.469237907,0.392562935
Q8BG51,ctrl,12.3012943,1.089950809,Q8BKC5,iso,2.473542394,0.393319358
Q9CQ40,ctrl,12.28788279,1.08947706,P61759,iso,2.475702481,0.393698452
P56392,ctrl,12.22180027,1.087135182,Q9ET54,iso,2.475702481,0.393698452
Q01730,ctrl,12.22180027,1.087135182,Q9QXT0,iso,2.480025119,0.39445608
Q9R0Q6,ctrl,12.16944381,1.08527073,Q9WVA3,iso,2.481108138,0.394645693
Q3THF9,ctrl,12.15642471,1.084805865,Q9CQ19,iso,2.488720307,0.395976091
Q922B1,ctrl,12.15642471,1.084805865,P60843,iso,2.499674284,0.397883422
Q99KP3,ctrl,12.11753401,1.083414247,Q8VEE1,iso,2.499678791,0.397884205
P48758,ctrl,12.08520932,1.082254177,Q9R1Z8,iso,2.50629489,0.399032169
Q9CQF0,ctrl,12.06921663,1.081679083,Q8BMP6,iso,2.510729661,0.399799953
P11531,ctrl,12.04677223,1.080870699,Q9JHL1,iso,2.515175592,0.40056831
O55137,ctrl,12.02764523,1.080180609,Q9DCH4,iso,2.519637295,0.401338028
P58281,ctrl,12.01503173,1.079724922,Q5SWU9,iso,2.520755195,0.401530671
Q9CXA2,ctrl,12.00234075,1.079265952,O88967,iso,2.526368817,0.402496752
P14094,ctrl,11.93291409,1.076746514,Q62048,iso,2.528617583,0.402883154
Q5U458,ctrl,11.8767883,1.074699015,Q6IRU5,iso,2.535387966,0.404044425
P62281,ctrl,11.8519113,1.073788393,Q8BRK8,iso,2.537652824,0.404432206
Q9JI75,ctrl,11.8272392,1.07288338,Q8R1X6,iso,2.539931039,0.404821925
A2ASS6,ctrl,11.818064,1.072546337,Q9D710,iso,2.542204025,0.405210402
Q8VDG5,ctrl,11.81494163,1.07243158,Q9JK48,iso,2.542204025,0.405210402
P70404,ctrl,11.8026696,1.07198025,Q9QYB1,iso,2.548766264,0.40633001
Q9CQ06,ctrl,11.79042305,1.071529388,Q501J6,iso,2.551336795,0.406767792
Q9Z2Q5,ctrl,11.77210079,1.070853972,Q9R069,iso,2.565169145,0.409116007
Q9CXJ1,ctrl,11.76600602,1.070629066,O54962,iso,2.569810143,0.409901039
Q8BVI4,ctrl,11.76590616,1.07062538,P14142,iso,2.570977786,0.410098324
Q8BWM0,ctrl,11.7174741,1.068834002,P10630,iso,2.572146491,0.410295699
Q921S7,ctrl,11.71143575,1.06861014,Q922P9,iso,2.572146491,0.410295699
Q9CQ60,ctrl,11.6813371,1.067492557,Q99LD9,iso,2.572146491,0.410295699
Q8K157,ctrl,11.6454223,1.066155242,P09103,iso,2.574477528,0.410689105
Q99JY0,ctrl,11.63330448,1.065703095,P70268,iso,2.574477528,0.410689105
Q499X9,ctrl,11.60963044,1.064818395,P99027,iso,2.574477528,0.410689105
P07310,ctrl,11.59768398,1.064371271,Q9CX86,iso,2.574477528,0.410689105
Q60994,ctrl,11.56228095,1.063043518,Q8R2R6,iso,2.5791523,0.411476988
P62267,ctrl,11.52134538,1.061503196,Q91W90,iso,2.58384408,0.412266303
Q3U5Q7,ctrl,11.49211938,1.060400129,Q8JZQ9,iso,2.588557794,0.413057866
Q8K411,ctrl,11.49211938,1.060400129,Q9D7P6,iso,2.588562628,0.413058677
Q9JI91,ctrl,11.44581616,1.058646766,Q69ZR2,iso,2.589737702,0.413255779
P14152,ctrl,11.44005447,1.058428092,O70400,iso,2.593288739,0.413850874
Q9CPW3,ctrl,11.43996007,1.058424509,Q14CH7,iso,2.593288739,0.413850874
Q9DBJ1,ctrl,11.3884592,1.05646497,P55302,iso,2.595658272,0.414247515
P17751,ctrl,11.374163,1.055919448,P82198,iso,2.609976732,0.416636636
Q9DAM5,ctrl,11.34298587,1.054727391,Q8BVZ1,iso,2.612376873,0.41703583
Q91YM4,ctrl,11.33167422,1.05429408,Q60714,iso,2.622031664,0.418637932
Q3UNZ8,ctrl,11.27526931,1.052126924,Q8K4L3,iso,2.62931224,0.419842163
P70296,ctrl,11.21960474,1.049977557,P26638,iso,2.631748091,0.420244317
P56380,ctrl,11.20853771,1.049548957,Q8BUV3,iso,2.63663336,0.421049743
Q8VDC0,ctrl,11.20853771,1.049548957,P42703,iso,2.637857512,0.421251333
Q9JKB1,ctrl,11.18646903,1.048693025,P70698,iso,2.641546865,0.42185832
Q9R0Y5,ctrl,11.18646903,1.048693025,Q6P2B1,iso,2.646468614,0.422666748
Q9CQS8,ctrl,11.17546725,1.04826569,P06684,iso,2.647701918,0.42286909
Q9JLJ2,ctrl,11.17546725,1.04826569,P47941,iso,2.651408737,0.423476683
P41105,ctrl,11.16448708,1.047838776,P35282,iso,2.656367338,0.424288132
Q8BGC4,ctrl,11.13167567,1.046560544,Q3UIZ8,iso,2.66135474,0.425102767
Q9D0F9,ctrl,11.11534218,1.045922837,Q99JX3,iso,2.66135474,0.425102767
Q9D1P0,ctrl,11.09905655,1.045286064,P07934,iso,2.68146192,0.428371634
Q3TJD7,ctrl,11.07741647,1.044438484,Q9ESL4,iso,2.699307911,0.431252428
P58389,ctrl,11.06115344,1.043800417,Q8R311,iso,2.701875243,0.431665292
O70250,ctrl,11.02368365,1.042326742,Q9CR09,iso,2.707024587,0.4324922
P21300,ctrl,11.02368365,1.042326742,P56695,iso,2.708320282,0.432700022
Q9DCU6,ctrl,11.02368365,1.042326742,Q68EF0,iso,2.726526779,0.435609768
Q05920,ctrl,10.9916063,1.041061164,Q62446,iso,2.72783048,0.435817378
P11352,ctrl,10.99151915,1.041057721,Q9Z1Q5,iso,2.735722131,0.437071984
P52503,ctrl,10.99151915,1.041057721,Q3TZZ7,iso,2.738359232,0.43749042
P62245,ctrl,10.97038278,1.040221781,Q91VH2,iso,2.741001422,0.437909261
Q9DAK9,ctrl,10.97029597,1.040218345,Q9CQC9,iso,2.741001422,0.437909261
Q9Z1Q9,ctrl,10.97029597,1.040218345,Q9R0H0,iso,2.743648716,0.438328505
Q80UM3,ctrl,10.95971509,1.039799264,Q9R0M4,iso,2.743648716,0.438328505
P51667,ctrl,10.94915459,1.039380588,Q9WTQ8,iso,2.743648716,0.438328505
Q80UW5,ctrl,10.88621656,1.036876969,O70305,iso,2.746301128,0.438748155
Q9CR24,ctrl,10.87588249,1.036464506,Q99L45,iso,2.746301128,0.438748155
O55023,ctrl,10.8653977,1.036045627,Q9D666,iso,2.746970476,0.438853992
Q60866,ctrl,10.84465831,1.035215873,P62141,iso,2.750294832,0.439379253
P19157,ctrl,10.83431828,1.03480159,Q8BMJ2,iso,2.756973226,0.440432549
Q9CPY7,ctrl,10.83423361,1.034798196,Q9R111,iso,2.756973226,0.440432549
P23506,ctrl,10.82399795,1.034387701,Q71FD7,iso,2.759651476,0.440854237
P56376,ctrl,10.79315458,1.033148397,Q99JB8,iso,2.765023618,0.441698845
Q8BFP9,ctrl,10.79315458,1.033148397,P24452,iso,2.767723065,0.442122633
Q99LX0,ctrl,10.78794715,1.03293881,Q69ZS7,iso,2.773132256,0.442970582
Q8VE38,ctrl,10.77268981,1.032324155,P83741,iso,2.775842009,0.443394744
P24527,ctrl,10.76750211,1.032114965,Q80TV8,iso,2.775842009,0.443394744
P70349,ctrl,10.7624865,1.03191262,Q9QZE7,iso,2.775842009,0.443394744
Q8JZQ2,ctrl,10.7624865,1.03191262,P11688,iso,2.781277433,0.444244312
Q8R574,ctrl,10.74213775,1.031090717,Q505F5,iso,2.781277433,0.444244312
Q8BH64,ctrl,10.67135481,1.02821956,Q6A0A9,iso,2.784003135,0.44466972
Q9WVH9,ctrl,10.67135481,1.02821956,P47811,iso,2.786745389,0.445097291
Q9DBP5,ctrl,10.65134889,1.027404611,Q99LF4,iso,2.786745389,0.445097291
Q8R2Z5,ctrl,10.64137404,1.026997709,P51163,iso,2.788107328,0.445309488
Q9D7J4,ctrl,10.59185961,1.024972216,P14211,iso,2.792223639,0.445950199
P62892,ctrl,10.59177868,1.024968898,Q9WVG6,iso,2.794970849,0.446377283
Q91VS7,ctrl,10.54264348,1.02294952,P70414,iso,2.797729116,0.446805663
Q9D0K2,ctrl,10.54264348,1.02294952,Q8CIG8,iso,2.80324501,0.447661058
Q9EQI8,ctrl,10.5231168,1.022144391,Q9Z1T2,iso,2.80324501,0.447661058
Q9QY76,ctrl,10.50843954,1.02153823,Q64012,iso,2.808799769,0.448520781
Q80W21,ctrl,10.48911861,1.020738996,Q78PY7,iso,2.808799769,0.448520781
Q99NB1,ctrl,10.48427965,1.020538597,Q9D6K5,iso,2.808799769,0.448520781
Q64105,ctrl,10.46251999,1.019636301,P83940,iso,2.819952647,0.450241816
O54724,ctrl,10.44564941,1.018935445,Q3TL26,iso,2.825562365,0.451104897
P05201,ctrl,10.42655847,1.018140983,Q8BP47,iso,2.828387144,0.451538855
Q9D8N0,ctrl,10.42655847,1.018140983,Q922J3,iso,2.829790099,0.451754223
O55111,ctrl,10.4216987,1.017938513,Q8K482,iso,2.831206012,0.451971472
P43023,ctrl,10.39310243,1.016745208,Q91V92,iso,2.831206012,0.451971472
