mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
Balbc,25.36677696,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,22.95645428,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,7.631048144,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,11.44005447,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,20.07522064,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,19.0482613,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,19.07210865,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,5.374108813,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,27.85513505,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,14.62150742,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,19.65817302,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,15.83467768,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,17.60172629,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,15.23969792,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,7.436164275,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,16.45414187,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,6.514786087,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,14.66885024,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,21.63346953,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,16.65898819,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,15.61687482,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,21.50026926,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,4.507981143,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,11.17546725,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,19.77821094,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,12.85844211,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,22.17219565,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,18.79619222,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,8.343028858,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,11.65736933,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,27.41771214,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,21.25892288,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,18.65706235,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
C57,19.09627882,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,17.09785843,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,19.00022424,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,24.29495384,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,20.64043775,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,15.9457816,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,11.34298587,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,21.24914717,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,7.316386922,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,17.63576222,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,19.81269631,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,20.11045872,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,17.46622604,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,20.45466346,ISO,,,,,,,,,,,,,,,,,,,,,,,
